CARD_NUMBER,CARD_EXPIRY,TRACK2_DATA,PIN_BLOCK,ACCOUNT_NUMBER
4000000000000051,2506,4000000000000051=25061011234500001,046707182DCB32BE,00000000000000000051
4000000000000052,2605,4000000000000052=26051011234500001,04E655E2526F173F,00000000000000000052
4000000000000053,2602,4000000000000053=26021011234500001,041C40F46E5528CB,00000000000000000053
4000000000000054,3008,4000000000000054=30081011234500001,04992349374769BF,00000000000000000054
4000000000000055,2708,4000000000000055=27081011234500001,045932AA2FA13E5A,00000000000000000055
4000000000000056,3008,4000000000000056=30081011234500001,04EB34153C1F07AF,00000000000000000056
4000000000000057,2505,4000000000000057=25051011234500001,041F06854ED32CAF,00000000000000000057
4000000000000058,2904,4000000000000058=29041011234500001,04F95FA72B393B57,00000000000000000058
4000000000000059,2509,4000000000000059=25091011234500001,0487027B714661E9,00000000000000000059
4000000000000060,2501,4000000000000060=25011011234500001,04C60EF74F3E1592,00000000000000000060
4000000000000061,2604,4000000000000061=26041011234500001,04AE335E3A4D6D06,00000000000000000061
4000000000000062,2610,4000000000000062=26101011234500001,047F64DB492722DA,00000000000000000062
4000000000000063,2706,4000000000000063=27061011234500001,04673A2436606A11,00000000000000000063
4000000000000064,3002,4000000000000064=30021011234500001,041B6DCC34FD5D72,00000000000000000064
4000000000000065,3001,4000000000000065=30011011234500001,042E32D75FC41D9D,00000000000000000065
4000000000000066,3004,4000000000000066=30041011234500001,04A5240C575432D5,00000000000000000066
4000000000000067,2908,4000000000000067=29081011234500001,0445620B23F242DF,00000000000000000067
4000000000000068,3002,4000000000000068=30021011234500001,04AF75186B63188E,00000000000000000068
4000000000000069,2606,4000000000000069=26061011234500001,042702F778774AA6,00000000000000000069
4000000000000070,3004,4000000000000070=30041011234500001,0471567A61F5684F,00000000000000000070
4000000000000071,2602,4000000000000071=26021011234500001,045F06663703221A,00000000000000000071
4000000000000072,2705,4000000000000072=27051011234500001,04B621E328345ADD,00000000000000000072
4000000000000073,2502,4000000000000073=25021011234500001,049F5982185D1D14,00000000000000000073
4000000000000074,2508,4000000000000074=25081011234500001,04A9101A11F97F2E,00000000000000000074
4000000000000075,2603,4000000000000075=26031011234500001,04AC50252B791270,00000000000000000075
4000000000000076,3009,4000000000000076=30091011234500001,04223014762166CA,00000000000000000076
4000000000000077,2706,4000000000000077=27061011234500001,047C412A01E149A0,00000000000000000077
4000000000000078,2612,4000000000000078=26121011234500001,04FD13591C1C6251,00000000000000000078
4000000000000079,2902,4000000000000079=29021011234500001,049774036C33376A,00000000000000000079
4000000000000080,2506,4000000000000080=25061011234500001,04AC0A8878B200B0,00000000000000000080
4000000000000081,2711,4000000000000081=27111011234500001,049C5D75795E6499,00000000000000000081
4000000000000082,2703,4000000000000082=27031011234500001,04F4249014AD016D,00000000000000000082
4000000000000083,2801,4000000000000083=28011011234500001,047A064D68E66410,00000000000000000083
4000000000000084,2706,4000000000000084=27061011234500001,04A320F502EF7E14,00000000000000000084
4000000000000085,2901,4000000000000085=29011011234500001,04B6016C54592670,00000000000000000085
4000000000000086,2503,4000000000000086=25031011234500001,04981945341A28A8,00000000000000000086
4000000000000087,3011,4000000000000087=30111011234500001,04DC3F756DB8705B,00000000000000000087
4000000000000088,2706,4000000000000088=27061011234500001,04773F826CD10CA5,00000000000000000088
4000000000000089,2905,4000000000000089=29051011234500001,04EF050940806CFF,00000000000000000089
4000000000000090,2612,4000000000000090=26121011234500001,04E11F27584035F7,00000000000000000090
4000000000000091,3001,4000000000000091=30011011234500001,046B7D56589E795F,00000000000000000091
4000000000000092,2607,4000000000000092=26071011234500001,04044422536B6CF4,00000000000000000092
4000000000000093,2910,4000000000000093=29101011234500001,043B055E7E66059D,00000000000000000093
4000000000000094,2709,4000000000000094=27091011234500001,04E376C84E754838,00000000000000000094
4000000000000095,2906,4000000000000095=29061011234500001,04B70D4448757835,00000000000000000095
4000000000000096,2902,4000000000000096=29021011234500001,049F4DB42FD81CF3,00000000000000000096
4000000000000097,2609,4000000000000097=26091011234500001,047A7B850BFC0BE2,00000000000000000097
4000000000000098,2805,4000000000000098=28051011234500001,04B61E183251440E,00000000000000000098
4000000000000099,2911,4000000000000099=29111011234500001,04B40ADB21E35BA9,00000000000000000099
4000000000000100,3005,4000000000000100=30051011234500001,04E340DC70E42E2F,00000000000000000100
4000000000000101,2805,4000000000000101=28051011234500001,044E564B7ACF693A,00000000000000000101
4000000000000102,2807,4000000000000102=28071011234500001,042926A56D404A80,00000000000000000102
4000000000000103,2601,4000000000000103=26011011234500001,04EE5F8505EB10A8,00000000000000000103
4000000000000104,2803,4000000000000104=28031011234500001,04383E9F037A43CD,00000000000000000104
4000000000000105,2604,4000000000000105=26041011234500001,04BE029B6E04412C,00000000000000000105
4000000000000106,3012,4000000000000106=30121011234500001,0425339422C97D50,00000000000000000106
4000000000000107,2908,4000000000000107=29081011234500001,048A2EC816532568,00000000000000000107
4000000000000108,2603,4000000000000108=26031011234500001,042868C075D07446,00000000000000000108
4000000000000109,3010,4000000000000109=30101011234500001,048C0EAC7C145668,00000000000000000109
4000000000000110,2701,4000000000000110=27011011234500001,04E35B5E159B2D1D,00000000000000000110
4000000000000111,2703,4000000000000111=27031011234500001,04003B5523B67355,00000000000000000111
4000000000000112,2908,4000000000000112=29081011234500001,04610FDE21540AE2,00000000000000000112
4000000000000113,2604,4000000000000113=26041011234500001,045653EA70463492,00000000000000000113
4000000000000114,2512,4000000000000114=25121011234500001,04CD694C515D4D38,00000000000000000114
4000000000000115,2712,4000000000000115=27121011234500001,049A10D021687BBF,00000000000000000115
4000000000000116,2904,4000000000000116=29041011234500001,048A274A075564F5,00000000000000000116
4000000000000117,2609,4000000000000117=26091011234500001,046E53A627F12AD1,00000000000000000117
4000000000000118,2612,4000000000000118=26121011234500001,04353AB025324946,00000000000000000118
4000000000000119,2906,4000000000000119=29061011234500001,04AB7E607B0D6344,00000000000000000119
4000000000000120,2704,4000000000000120=27041011234500001,04C61AA94C7166DC,00000000000000000120
4000000000000121,2609,4000000000000121=26091011234500001,047A327C076F6316,00000000000000000121
4000000000000122,2603,4000000000000122=26031011234500001,04B833E93B0E1899,00000000000000000122
4000000000000123,2506,4000000000000123=25061011234500001,04902DF627F737FE,00000000000000000123
4000000000000124,3007,4000000000000124=30071011234500001,0408614F7EC244B6,00000000000000000124
4000000000000125,2710,4000000000000125=27101011234500001,04CC7E8842E0222C,00000000000000000125
4000000000000126,2603,4000000000000126=26031011234500001,0470091457BB2B4F,00000000000000000126
4000000000000127,2502,4000000000000127=25021011234500001,0468645E18446E6D,00000000000000000127
4000000000000128,2811,4000000000000128=28111011234500001,041D6B5512C81AE3,00000000000000000128
4000000000000129,2806,4000000000000129=28061011234500001,047F2C4876A47C84,00000000000000000129
4000000000000130,2911,4000000000000130=29111011234500001,04DC56920FAA0D28,00000000000000000130
4000000000000131,3005,4000000000000131=30051011234500001,0492360757B44123,00000000000000000131
4000000000000132,2709,4000000000000132=27091011234500001,047244804314123E,00000000000000000132
4000000000000133,2608,4000000000000133=26081011234500001,0456764F4B950BBE,00000000000000000133
4000000000000134,2503,4000000000000134=25031011234500001,0490453E7C7B5A28,00000000000000000134
4000000000000135,2605,4000000000000135=26051011234500001,04EB3C92024B5F32,00000000000000000135
4000000000000136,2612,4000000000000136=26121011234500001,04AA08D13EBA0C1A,00000000000000000136
4000000000000137,2610,4000000000000137=26101011234500001,04540BAF230870F7,00000000000000000137
4000000000000138,2711,4000000000000138=27111011234500001,049D366B3F4A60F1,00000000000000000138
4000000000000139,2507,4000000000000139=25071011234500001,04C4191D66AB1555,00000000000000000139
4000000000000140,2703,4000000000000140=27031011234500001,04E006EB527411FD,00000000000000000140
4000000000000141,2701,4000000000000141=27011011234500001,041A392406822FD5,00000000000000000141
4000000000000142,2804,4000000000000142=28041011234500001,04BE33A05BC00EDE,00000000000000000142
4000000000000143,2608,4000000000000143=26081011234500001,04A54F4C722E5DE0,00000000000000000143
4000000000000144,2511,4000000000000144=25111011234500001,04BC2C297897051F,00000000000000000144
4000000000000145,2503,4000000000000145=25031011234500001,04057900573A2E53,00000000000000000145
4000000000000146,2609,4000000000000146=26091011234500001,04471E1337D501DF,00000000000000000146
4000000000000147,3007,4000000000000147=30071011234500001,04C4451B42C60369,00000000000000000147
4000000000000148,2803,4000000000000148=28031011234500001,0438167B7BB649A0,00000000000000000148
4000000000000149,2506,4000000000000149=25061011234500001,040315DA7953654D,00000000000000000149
4000000000000150,2512,4000000000000150=25121011234500001,04CD59E64C655C17,00000000000000000150
4000000000000151,2806,4000000000000151=28061011234500001,044473667A954234,00000000000000000151
4000000000000152,3010,4000000000000152=30101011234500001,043068051818698C,00000000000000000152
4000000000000153,2508,4000000000000153=25081011234500001,04394BF676D60DCA,00000000000000000153
4000000000000154,3012,4000000000000154=30121011234500001,04967123527A3536,00000000000000000154
4000000000000155,2912,4000000000000155=29121011234500001,042E1335314C145F,00000000000000000155
4000000000000156,2602,4000000000000156=26021011234500001,04AB387647DA6B91,00000000000000000156
4000000000000157,2509,4000000000000157=25091011234500001,045715735671570D,00000000000000000157
4000000000000158,2710,4000000000000158=27101011234500001,04BF6A7979534598,00000000000000000158
4000000000000159,2506,4000000000000159=25061011234500001,043053C91F4414D2,00000000000000000159
4000000000000160,2806,4000000000000160=28061011234500001,04EB402825E4597A,00000000000000000160
4000000000000161,2508,4000000000000161=25081011234500001,04B50D3721F2715A,00000000000000000161
4000000000000162,2810,4000000000000162=28101011234500001,042F4FB47137271A,00000000000000000162
4000000000000163,2702,4000000000000163=27021011234500001,041765685E5D24E4,00000000000000000163
4000000000000164,2601,4000000000000164=26011011234500001,043618FC138D3273,00000000000000000164
4000000000000165,2809,4000000000000165=28091011234500001,0436149B58817989,00000000000000000165
4000000000000166,2702,4000000000000166=27021011234500001,043F1FFE56FD47C0,00000000000000000166
4000000000000167,3012,4000000000000167=30121011234500001,040D64E75C9A40CE,00000000000000000167
4000000000000168,2901,4000000000000168=29011011234500001,046230F30D0D44FB,00000000000000000168
4000000000000169,2508,4000000000000169=25081011234500001,04D927D548A1114C,00000000000000000169
4000000000000170,2901,4000000000000170=29011011234500001,042629D74C566A08,00000000000000000170
4000000000000171,2510,4000000000000171=25101011234500001,049373FC5C792ED0,00000000000000000171
4000000000000172,2906,4000000000000172=29061011234500001,04234A8D58A62CA8,00000000000000000172
4000000000000173,2606,4000000000000173=26061011234500001,041F0D290DE4303F,00000000000000000173
4000000000000174,2905,4000000000000174=29051011234500001,042708D548E14F0C,00000000000000000174
4000000000000175,3001,4000000000000175=30011011234500001,043E0A411F147525,00000000000000000175
4000000000000176,2803,4000000000000176=28031011234500001,041426E27C926F9E,00000000000000000176
4000000000000177,2611,4000000000000177=26111011234500001,04214ACF2E7179B4,00000000000000000177
4000000000000178,2508,4000000000000178=25081011234500001,0479431D6FED665A,00000000000000000178
4000000000000179,3004,4000000000000179=30041011234500001,04324B0713F942A7,00000000000000000179
4000000000000180,3002,4000000000000180=30021011234500001,0487358127AB77CD,00000000000000000180
4000000000000181,2907,4000000000000181=29071011234500001,046D0FA31437233C,00000000000000000181
4000000000000182,2908,4000000000000182=29081011234500001,04F9429D770C1F93,00000000000000000182
4000000000000183,2705,4000000000000183=27051011234500001,045E6BE02AC93642,00000000000000000183
4000000000000184,2707,4000000000000184=27071011234500001,040D660C78DD63EE,00000000000000000184
4000000000000185,2502,4000000000000185=25021011234500001,04A37A8F5DEE37F5,00000000000000000185
4000000000000186,2808,4000000000000186=28081011234500001,0492260F695C39C6,00000000000000000186
4000000000000187,3007,4000000000000187=30071011234500001,047D77EB2292311A,00000000000000000187
4000000000000188,3002,4000000000000188=30021011234500001,04C4778F514C6C3B,00000000000000000188
4000000000000189,2806,4000000000000189=28061011234500001,04D46CB843D24497,00000000000000000189
4000000000000190,2902,4000000000000190=29021011234500001,046825AD53942C8A,00000000000000000190
4000000000000191,2602,4000000000000191=26021011234500001,04C87BDD72ED1F7C,00000000000000000191
4000000000000192,2902,4000000000000192=29021011234500001,046361A51D4556F1,00000000000000000192
4000000000000193,2910,4000000000000193=29101011234500001,045C150E0C9D2643,00000000000000000193
4000000000000194,2712,4000000000000194=27121011234500001,048D4A57254E74E4,00000000000000000194
4000000000000195,2508,4000000000000195=25081011234500001,044129772B55528C,00000000000000000195
4000000000000196,2903,4000000000000196=29031011234500001,04CC75EC4063268C,00000000000000000196
4000000000000197,2707,4000000000000197=27071011234500001,04AD51684BC973F9,00000000000000000197
4000000000000198,2803,4000000000000198=28031011234500001,0494233D509B4DC6,00000000000000000198
4000000000000199,2505,4000000000000199=25051011234500001,049B3121624C30A1,00000000000000000199
4000000000000200,2801,4000000000000200=28011011234500001,044708C20E8657B7,00000000000000000200
4000000000000201,2710,4000000000000201=27101011234500001,04537B6B6D022F10,00000000000000000201
4000000000000202,2502,4000000000000202=25021011234500001,046720557BC0109B,00000000000000000202
4000000000000203,2607,4000000000000203=26071011234500001,04BC758214B1467E,00000000000000000203
4000000000000204,2611,4000000000000204=26111011234500001,045454E201FA490C,00000000000000000204
4000000000000205,2706,4000000000000205=27061011234500001,041F08993BEE1A0C,00000000000000000205
4000000000000206,2912,4000000000000206=29121011234500001,044208FC44532D2D,00000000000000000206
4000000000000207,2702,4000000000000207=27021011234500001,041057D00EDA7F47,00000000000000000207
4000000000000208,2609,4000000000000208=26091011234500001,044E68C5185A22A6,00000000000000000208
4000000000000209,2706,4000000000000209=27061011234500001,04AF38B3731E669A,00000000000000000209
4000000000000210,2511,4000000000000210=25111011234500001,040859E76E7979AF,00000000000000000210
4000000000000211,2801,4000000000000211=28011011234500001,04A71BB038F3091E,00000000000000000211
4000000000000212,2509,4000000000000212=25091011234500001,04DB2C997FC85341,00000000000000000212
4000000000000213,3006,4000000000000213=30061011234500001,042F39DC01511A04,00000000000000000213
4000000000000214,3004,4000000000000214=30041011234500001,04DD01D37F794A40,00000000000000000214
4000000000000215,2906,4000000000000215=29061011234500001,0440466A671B3094,00000000000000000215
4000000000000216,2712,4000000000000216=27121011234500001,0442747B04D57D45,00000000000000000216
4000000000000217,3009,4000000000000217=30091011234500001,04BE58A308EB547B,00000000000000000217
4000000000000218,2908,4000000000000218=29081011234500001,0451232817870C4D,00000000000000000218
4000000000000219,2908,4000000000000219=29081011234500001,0441783306BF38D4,00000000000000000219
4000000000000220,2610,4000000000000220=26101011234500001,04B72DD96AAB697A,00000000000000000220
4000000000000221,2907,4000000000000221=29071011234500001,04C8583452B7732F,00000000000000000221
4000000000000222,2901,4000000000000222=29011011234500001,048E06AF13D26DAB,00000000000000000222
4000000000000223,2707,4000000000000223=27071011234500001,04740E3845B30A8F,00000000000000000223
4000000000000224,2703,4000000000000224=27031011234500001,0468068819FE698B,00000000000000000224
4000000000000225,2502,4000000000000225=25021011234500001,04232141305F4710,00000000000000000225
4000000000000226,2702,4000000000000226=27021011234500001,04487E11454A5975,00000000000000000226
4000000000000227,2805,4000000000000227=28051011234500001,0482596A0F1565AB,00000000000000000227
4000000000000228,2806,4000000000000228=28061011234500001,044769A452B0663C,00000000000000000228
4000000000000229,2607,4000000000000229=26071011234500001,04EC73AE0AA76C61,00000000000000000229
4000000000000230,2808,4000000000000230=28081011234500001,04617213483166AB,00000000000000000230
4000000000000231,2604,4000000000000231=26041011234500001,0431760C79E201AB,00000000000000000231
4000000000000232,2912,4000000000000232=29121011234500001,04956E2B4C47156B,00000000000000000232
4000000000000233,2910,4000000000000233=29101011234500001,042006FF176C0F01,00000000000000000233
4000000000000234,3005,4000000000000234=30051011234500001,045E189348681487,00000000000000000234
4000000000000235,2604,4000000000000235=26041011234500001,045E0FFE055448DC,00000000000000000235
4000000000000236,2602,4000000000000236=26021011234500001,04331358710F13C8,00000000000000000236
4000000000000237,2708,4000000000000237=27081011234500001,04F9458273602778,00000000000000000237
4000000000000238,3008,4000000000000238=30081011234500001,048E0E413E77709E,00000000000000000238
4000000000000239,2511,4000000000000239=25111011234500001,04B81FC63F031A45,00000000000000000239
4000000000000240,2507,4000000000000240=25071011234500001,04A966C1200F5E53,00000000000000000240
4000000000000241,2801,4000000000000241=28011011234500001,040E0E3C1B837CC4,00000000000000000241
4000000000000242,2503,4000000000000242=25031011234500001,04F4501E715902BC,00000000000000000242
4000000000000243,2809,4000000000000243=28091011234500001,04426C632EB73E4C,00000000000000000243
4000000000000244,2901,4000000000000244=29011011234500001,04F2702F21AD679A,00000000000000000244
4000000000000245,2612,4000000000000245=26121011234500001,04292994026176E1,00000000000000000245
4000000000000246,2603,4000000000000246=26031011234500001,04F950B6490E1A7C,00000000000000000246
4000000000000247,2501,4000000000000247=25011011234500001,04865DD2240E7A28,00000000000000000247
4000000000000248,2608,4000000000000248=26081011234500001,040D7F413B2044B0,00000000000000000248
4000000000000249,2802,4000000000000249=28021011234500001,04E75CC13D0D0E1B,00000000000000000249
4000000000000250,2509,4000000000000250=25091011234500001,04D2251D3DDE5AA9,00000000000000000250
4000000000000251,2708,4000000000000251=27081011234500001,049A6C5D41D26E0A,00000000000000000251
4000000000000252,2907,4000000000000252=29071011234500001,044436BF0C992DEC,00000000000000000252
4000000000000253,2909,4000000000000253=29091011234500001,041247F503E06313,00000000000000000253
4000000000000254,2809,4000000000000254=28091011234500001,04B205AB706D1E58,00000000000000000254
4000000000000255,2507,4000000000000255=25071011234500001,04D438A663172A0A,00000000000000000255
4000000000000256,2601,4000000000000256=26011011234500001,043A71BF26304F67,00000000000000000256
4000000000000257,2701,4000000000000257=27011011234500001,04BE7B4602F24B92,00000000000000000257
4000000000000258,2803,4000000000000258=28031011234500001,04B01E77368313C1,00000000000000000258
4000000000000259,2803,4000000000000259=28031011234500001,044C1877361825D3,00000000000000000259
4000000000000260,2502,4000000000000260=25021011234500001,04B75E7A7F902533,00000000000000000260
4000000000000261,2508,4000000000000261=25081011234500001,04256E6136556011,00000000000000000261
4000000000000262,2610,4000000000000262=26101011234500001,04776B94289928E1,00000000000000000262
4000000000000263,2501,4000000000000263=25011011234500001,0416244728CF070F,00000000000000000263
4000000000000264,2910,4000000000000264=29101011234500001,04346AEC3E625F5B,00000000000000000264
4000000000000265,2510,4000000000000265=25101011234500001,044346ED4E145604,00000000000000000265
4000000000000266,2611,4000000000000266=26111011234500001,04B01D0E7C2325D2,00000000000000000266
4000000000000267,2807,4000000000000267=28071011234500001,043C118B03566290,00000000000000000267
4000000000000268,2707,4000000000000268=27071011234500001,04255F2D777A099F,00000000000000000268
4000000000000269,2912,4000000000000269=29121011234500001,043119C055EE32EA,00000000000000000269
4000000000000270,2506,4000000000000270=25061011234500001,04303EA336A010E5,00000000000000000270
4000000000000271,2608,4000000000000271=26081011234500001,047D65C34C006443,00000000000000000271
4000000000000272,2503,4000000000000272=25031011234500001,0408419256C472EC,00000000000000000272
4000000000000273,2901,4000000000000273=29011011234500001,044312C41CD32416,00000000000000000273
4000000000000274,2803,4000000000000274=28031011234500001,04E01F4105623885,00000000000000000274
4000000000000275,2507,4000000000000275=25071011234500001,04C84E3F513709D5,00000000000000000275
4000000000000276,2604,4000000000000276=26041011234500001,0431608359ED109D,00000000000000000276
4000000000000277,2611,4000000000000277=26111011234500001,04E02FA7181A073A,00000000000000000277
4000000000000278,2802,4000000000000278=28021011234500001,04703443461E7ECB,00000000000000000278
4000000000000279,2706,4000000000000279=27061011234500001,047728B575145C22,00000000000000000279
4000000000000280,2710,4000000000000280=27101011234500001,04541E1A09D15974,00000000000000000280
4000000000000281,2906,4000000000000281=29061011234500001,042479463E886FB8,00000000000000000281
4000000000000282,2609,4000000000000282=26091011234500001,04BB746C0C3242E0,00000000000000000282
4000000000000283,2602,4000000000000283=26021011234500001,044B088416C05362,00000000000000000283
4000000000000284,2810,4000000000000284=28101011234500001,04CF59805EA85456,00000000000000000284
4000000000000285,2509,4000000000000285=25091011234500001,043767D7170234A9,00000000000000000285
4000000000000286,2707,4000000000000286=27071011234500001,04F8669F2EBA0416,00000000000000000286
4000000000000287,2606,4000000000000287=26061011234500001,042C44C6358D5212,00000000000000000287
4000000000000288,2812,4000000000000288=28121011234500001,04BD12083AEF56CA,00000000000000000288
4000000000000289,2905,4000000000000289=29051011234500001,046A5DD8770C53A9,00000000000000000289
4000000000000290,2501,4000000000000290=25011011234500001,04A660642B511AC5,00000000000000000290
4000000000000291,3004,4000000000000291=30041011234500001,049D5B1829D362A4,00000000000000000291
4000000000000292,2802,4000000000000292=28021011234500001,04BC200829172F2F,00000000000000000292
4000000000000293,3010,4000000000000293=30101011234500001,041765BB2D093468,00000000000000000293
4000000000000294,2612,4000000000000294=26121011234500001,0435301B69A722E7,00000000000000000294
4000000000000295,2507,4000000000000295=25071011234500001,040033280F8C23E5,00000000000000000295
4000000000000296,2807,4000000000000296=28071011234500001,04791F7B47F036C0,00000000000000000296
4000000000000297,2910,4000000000000297=29101011234500001,04371E4E123118F2,00000000000000000297
4000000000000298,2807,4000000000000298=28071011234500001,04752EFE2BC87473,00000000000000000298
4000000000000299,2906,4000000000000299=29061011234500001,048F0F033EAE1032,00000000000000000299
4000000000000300,2903,4000000000000300=29031011234500001,0400685811D3074A,00000000000000000300
4000000000000301,2911,4000000000000301=29111011234500001,04C001EC405146B9,00000000000000000301
4000000000000302,2610,4000000000000302=26101011234500001,04BF76D837264579,00000000000000000302
4000000000000303,2805,4000000000000303=28051011234500001,0416341C6D4C0B5A,00000000000000000303
4000000000000304,2604,4000000000000304=26041011234500001,04C530B06A9350A7,00000000000000000304
4000000000000305,2603,4000000000000305=26031011234500001,04C5746667453468,00000000000000000305
4000000000000306,2908,4000000000000306=29081011234500001,04E53787026B5202,00000000000000000306
4000000000000307,2812,4000000000000307=28121011234500001,0471191B576B6352,00000000000000000307
4000000000000308,3012,4000000000000308=30121011234500001,0471348A20210A02,00000000000000000308
4000000000000309,3002,4000000000000309=30021011234500001,044B43AF7E364866,00000000000000000309
4000000000000310,2901,4000000000000310=29011011234500001,04DA6832740125A5,00000000000000000310
4000000000000311,3012,4000000000000311=30121011234500001,04C9246C08A52F9B,00000000000000000311
4000000000000312,3012,4000000000000312=30121011234500001,046E7F7F4A017AC9,00000000000000000312
4000000000000313,2910,4000000000000313=29101011234500001,04EC07494C94742C,00000000000000000313
4000000000000314,2712,4000000000000314=27121011234500001,0421504B7D5D62E9,00000000000000000314
4000000000000315,2509,4000000000000315=25091011234500001,048E478223803B74,00000000000000000315
4000000000000316,2504,4000000000000316=25041011234500001,0431341433705770,00000000000000000316
4000000000000317,2908,4000000000000317=29081011234500001,042D0A7306D33847,00000000000000000317
4000000000000318,2902,4000000000000318=29021011234500001,04F724441F0F245E,00000000000000000318
4000000000000319,3002,4000000000000319=30021011234500001,043302EF428C66BF,00000000000000000319
4000000000000320,2709,4000000000000320=27091011234500001,044A6CDA3C526DEB,00000000000000000320
4000000000000321,2807,4000000000000321=28071011234500001,04A02D0F7AE55D2C,00000000000000000321
4000000000000322,3007,4000000000000322=30071011234500001,04403210218B537A,00000000000000000322
4000000000000323,2703,4000000000000323=27031011234500001,04AD1F254F3F29B3,00000000000000000323
4000000000000324,2603,4000000000000324=26031011234500001,042C13475CDE1DEA,00000000000000000324
4000000000000325,2512,4000000000000325=25121011234500001,04BA6755087A6CBF,00000000000000000325
4000000000000326,2505,4000000000000326=25051011234500001,043359600EB51134,00000000000000000326
4000000000000327,2708,4000000000000327=27081011234500001,04A926096A902747,00000000000000000327
